ALV-6000/E-WIN Data
Date :	"10/10/2017"
Time :	"11:11:41 AM"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	      72.57358
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  1.25000E-004	 -9.29656E-001
  2.50000E-004	 -3.38344E-001
  3.75000E-004	  2.88395E-001
  5.00000E-004	  5.82577E-001
  6.25000E-004	  6.77012E-001
  7.50000E-004	  7.42680E-001
  8.75000E-004	  7.67077E-001
  1.00000E-003	  7.83188E-001
  1.12500E-003	  7.88271E-001
  1.25000E-003	  7.80596E-001
  1.37500E-003	  7.97572E-001
  1.50000E-003	  7.94777E-001
  1.62500E-003	  7.86899E-001
  1.75000E-003	  7.94319E-001
  1.87500E-003	  7.95183E-001
  2.00000E-003	  7.91956E-001
  2.25000E-003	  7.91168E-001
  2.50000E-003	  7.94294E-001
  2.75000E-003	  7.89593E-001
  3.00000E-003	  7.90050E-001
  3.25000E-003	  7.92998E-001
  3.50000E-003	  7.88500E-001
  3.75000E-003	  7.94853E-001
  4.00000E-003	  7.87158E-001
  4.50000E-003	  7.93689E-001
  5.00000E-003	  7.87056E-001
  5.50000E-003	  7.86853E-001
  6.00000E-003	  7.86904E-001
  6.50000E-003	  7.87819E-001
  7.00000E-003	  7.85773E-001
  7.50000E-003	  7.80944E-001
  8.00000E-003	  7.82375E-001
  9.00000E-003	  7.82134E-001
  1.00000E-002	  7.76626E-001
  1.10000E-002	  7.77261E-001
  1.20000E-002	  7.73360E-001
  1.30000E-002	  7.75920E-001
  1.40000E-002	  7.75641E-001
  1.50000E-002	  7.72547E-001
  1.60000E-002	  7.67272E-001
  1.80000E-002	  7.67917E-001
  2.00000E-002	  7.61007E-001
  2.20000E-002	  7.62688E-001
  2.40000E-002	  7.55496E-001
  2.60000E-002	  7.52326E-001
  2.80000E-002	  7.53635E-001
  3.00000E-002	  7.49429E-001
  3.20000E-002	  7.42721E-001
  3.60000E-002	  7.37432E-001
  4.00000E-002	  7.36026E-001
  4.40000E-002	  7.25911E-001
  4.80000E-002	  7.18473E-001
  5.20000E-002	  7.14756E-001
  5.60000E-002	  7.05876E-001
  6.00000E-002	  7.01164E-001
  6.40000E-002	  6.97008E-001
  7.20000E-002	  6.83678E-001
  8.00000E-002	  6.77029E-001
  8.80000E-002	  6.63031E-001
  9.60000E-002	  6.51985E-001
  1.04000E-001	  6.40700E-001
  1.12000E-001	  6.31553E-001
  1.20000E-001	  6.23498E-001
  1.28000E-001	  6.10629E-001
  1.44000E-001	  5.90643E-001
  1.60000E-001	  5.71191E-001
  1.76000E-001	  5.52065E-001
  1.92000E-001	  5.35887E-001
  2.08000E-001	  5.17358E-001
  2.24000E-001	  5.00718E-001
  2.40000E-001	  4.85153E-001
  2.56000E-001	  4.69606E-001
  2.88000E-001	  4.39622E-001
  3.20000E-001	  4.12427E-001
  3.52000E-001	  3.84741E-001
  3.84000E-001	  3.60852E-001
  4.16000E-001	  3.38563E-001
  4.48000E-001	  3.17584E-001
  4.80000E-001	  2.97965E-001
  5.12000E-001	  2.79137E-001
  5.76000E-001	  2.46501E-001
  6.40000E-001	  2.17685E-001
  7.04000E-001	  1.90563E-001
  7.68000E-001	  1.67697E-001
  8.32000E-001	  1.48456E-001
  8.96000E-001	  1.31094E-001
  9.60000E-001	  1.16094E-001
  1.02400E+000	  1.04357E-001
  1.15200E+000	  8.27896E-002
  1.28000E+000	  6.74244E-002
  1.40800E+000	  5.49793E-002
  1.53600E+000	  4.51833E-002
  1.66400E+000	  3.66776E-002
  1.79200E+000	  2.98756E-002
  1.92000E+000	  2.38012E-002
  2.01600E+000	  2.08452E-002
  2.27200E+000	  1.44829E-002
  2.52800E+000	  9.74776E-003
  2.78400E+000	  8.48284E-003
  3.04000E+000	  6.60357E-003
  3.29600E+000	  4.09817E-003
  3.55200E+000	 -1.98238E-004
  3.80800E+000	 -2.81262E-003
  4.06400E+000	 -2.54872E-003
  4.57600E+000	 -1.21448E-003
  5.08800E+000	 -3.56600E-003
  5.60000E+000	 -9.74854E-004
  6.11200E+000	  7.38636E-004
  6.62400E+000	 -6.22259E-004
  7.13600E+000	  4.78861E-004
  7.64800E+000	 -1.69980E-004
  8.16000E+000	 -5.74386E-004
  9.18400E+000	  3.18433E-004
  1.02080E+001	 -2.62721E-004
  1.12320E+001	  7.96610E-005
  1.22560E+001	 -2.25468E-003
  1.32800E+001	 -2.44518E-003
  1.43040E+001	 -3.41417E-003
  1.53280E+001	 -2.29306E-003
  1.63520E+001	  1.38660E-005
  1.84000E+001	 -5.29950E-004
  2.04480E+001	 -9.45868E-004
  2.24960E+001	  1.45811E-003
  2.45440E+001	 -6.41519E-004
  2.65920E+001	  2.52665E-003
  2.86400E+001	  8.38401E-004
  3.06880E+001	 -1.55210E-003
  3.27360E+001	  7.98498E-004
  3.68320E+001	 -1.23716E-003
  4.09280E+001	  2.59995E-003
  4.50240E+001	 -1.42498E-003
  4.91200E+001	  1.28046E-003
  5.32160E+001	  3.40647E-003
  5.73120E+001	 -4.16651E-004
  6.14080E+001	  1.61626E-003
