ALV-6000/E-WIN Data
Date :	"10/10/2017"
Time :	"12:13:00 PM"
Samplename : 	"Samplename needed."
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	      47.27139
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  1.25000E-004	 -9.19496E-001
  2.50000E-004	 -3.06252E-001
  3.75000E-004	  3.14779E-001
  5.00000E-004	  5.35686E-001
  6.25000E-004	  6.62073E-001
  7.50000E-004	  6.98491E-001
  8.75000E-004	  7.49525E-001
  1.00000E-003	  7.52760E-001
  1.12500E-003	  7.68933E-001
  1.25000E-003	  7.61385E-001
  1.37500E-003	  7.64859E-001
  1.50000E-003	  7.66417E-001
  1.62500E-003	  7.68573E-001
  1.75000E-003	  8.01038E-001
  1.87500E-003	  8.01997E-001
  2.00000E-003	  7.81212E-001
  2.25000E-003	  7.60607E-001
  2.50000E-003	  7.48926E-001
  2.75000E-003	  7.66297E-001
  3.00000E-003	  7.68034E-001
  3.25000E-003	  7.63362E-001
  3.50000E-003	  7.54976E-001
  3.75000E-003	  7.55515E-001
  4.00000E-003	  7.55697E-001
  4.50000E-003	  7.67527E-001
  5.00000E-003	  7.40962E-001
  5.50000E-003	  7.49198E-001
  6.00000E-003	  7.62735E-001
  6.50000E-003	  7.45095E-001
  7.00000E-003	  7.56925E-001
  7.50000E-003	  7.33565E-001
  8.00000E-003	  7.38222E-001
  9.00000E-003	  7.34763E-001
  1.00000E-002	  7.38192E-001
  1.10000E-002	  7.31783E-001
  1.20000E-002	  7.25478E-001
  1.30000E-002	  7.27185E-001
  1.40000E-002	  7.19758E-001
  1.50000E-002	  7.23157E-001
  1.60000E-002	  7.13522E-001
  1.80000E-002	  7.03295E-001
  2.00000E-002	  6.94834E-001
  2.20000E-002	  6.89780E-001
  2.40000E-002	  6.87257E-001
  2.60000E-002	  6.75270E-001
  2.80000E-002	  6.64563E-001
  3.00000E-002	  6.55003E-001
  3.20000E-002	  6.46084E-001
  3.60000E-002	  6.41635E-001
  4.00000E-002	  6.28358E-001
  4.40000E-002	  6.15318E-001
  4.80000E-002	  6.03952E-001
  5.20000E-002	  5.93821E-001
  5.60000E-002	  5.79699E-001
  6.00000E-002	  5.68554E-001
  6.40000E-002	  5.58496E-001
  7.20000E-002	  5.36619E-001
  8.00000E-002	  5.17245E-001
  8.80000E-002	  4.97002E-001
  9.60000E-002	  4.78181E-001
  1.04000E-001	  4.60737E-001
  1.12000E-001	  4.36849E-001
  1.20000E-001	  4.26578E-001
  1.28000E-001	  4.09499E-001
  1.44000E-001	  3.78244E-001
  1.60000E-001	  3.48036E-001
  1.76000E-001	  3.23877E-001
  1.92000E-001	  2.98018E-001
  2.08000E-001	  2.73545E-001
  2.24000E-001	  2.51956E-001
  2.40000E-001	  2.30832E-001
  2.56000E-001	  2.11097E-001
  2.88000E-001	  1.73192E-001
  3.20000E-001	  1.43582E-001
  3.52000E-001	  1.15470E-001
  3.84000E-001	  9.40483E-002
  4.16000E-001	  7.41391E-002
  4.48000E-001	  5.77801E-002
  4.80000E-001	  4.50640E-002
  5.12000E-001	  3.61039E-002
  5.76000E-001	  1.95946E-002
