ALV-6000/E-WIN Data
Date :	"10/10/2017"
Time :	"11:38:09 AM"
Samplename : 	""
SampMemo(0) : 	""
SampMemo(1) : 	""
SampMemo(2) : 	""
SampMemo(3) : 	""
SampMemo(4) : 	""
SampMemo(5) : 	""
SampMemo(6) : 	""
SampMemo(7) : 	""
SampMemo(8) : 	""
SampMemo(9) : 	""
Temperature [K] :	     298.16000
Viscosity [cp]  :	       0.89000
Refractive Index:	       1.33200
Wavelength [nm] :	     632.80000
Angle [°]       :	      90.00000
Duration [s]    :	        30
Runs            :	         1
Mode            :	"SINGLE AUTO CH0"
MeanCR0 [kHz]   :	      68.09937
MeanCR1 [kHz]   :	       0.00000

"Correlation"
  1.25000E-004	 -9.32232E-001
  2.50000E-004	 -3.43963E-001
  3.75000E-004	  2.87830E-001
  5.00000E-004	  5.81647E-001
  6.25000E-004	  6.72621E-001
  7.50000E-004	  7.48297E-001
  8.75000E-004	  7.92803E-001
  1.00000E-003	  7.75774E-001
  1.12500E-003	  7.79411E-001
  1.25000E-003	  8.15950E-001
  1.37500E-003	  8.08965E-001
  1.50000E-003	  8.15719E-001
  1.62500E-003	  7.94477E-001
  1.75000E-003	  7.95227E-001
  1.87500E-003	  7.97536E-001
  2.00000E-003	  8.05763E-001
  2.25000E-003	  8.03455E-001
  2.50000E-003	  8.10959E-001
  2.75000E-003	  7.98057E-001
  3.00000E-003	  8.05215E-001
  3.25000E-003	  7.95402E-001
  3.50000E-003	  8.00251E-001
  3.75000E-003	  7.97163E-001
  4.00000E-003	  7.93427E-001
  4.50000E-003	  7.98968E-001
  5.00000E-003	  7.95649E-001
  5.50000E-003	  7.90858E-001
  6.00000E-003	  7.89357E-001
  6.50000E-003	  7.88780E-001
  7.00000E-003	  7.92027E-001
  7.50000E-003	  7.90165E-001
  8.00000E-003	  7.84687E-001
  9.00000E-003	  7.89081E-001
  1.00000E-002	  7.80379E-001
  1.10000E-002	  7.78128E-001
  1.20000E-002	  7.77767E-001
  1.30000E-002	  7.71843E-001
  1.40000E-002	  7.71691E-001
  1.50000E-002	  7.65500E-001
  1.60000E-002	  7.63962E-001
  1.80000E-002	  7.55014E-001
  2.00000E-002	  7.49563E-001
  2.20000E-002	  7.44897E-001
  2.40000E-002	  7.39493E-001
  2.60000E-002	  7.43440E-001
  2.80000E-002	  7.31930E-001
  3.00000E-002	  7.29801E-001
  3.20000E-002	  7.22847E-001
  3.60000E-002	  7.11326E-001
  4.00000E-002	  7.02597E-001
  4.40000E-002	  6.91489E-001
  4.80000E-002	  6.82713E-001
  5.20000E-002	  6.72918E-001
  5.60000E-002	  6.63975E-001
  6.00000E-002	  6.52291E-001
  6.40000E-002	  6.45160E-001
  7.20000E-002	  6.25270E-001
  8.00000E-002	  6.07721E-001
  8.80000E-002	  5.91372E-001
  9.60000E-002	  5.74979E-001
  1.04000E-001	  5.58338E-001
  1.12000E-001	  5.44105E-001
  1.20000E-001	  5.27227E-001
  1.28000E-001	  5.13130E-001
  1.44000E-001	  4.86210E-001
  1.60000E-001	  4.58854E-001
  1.76000E-001	  4.33308E-001
  1.92000E-001	  4.09432E-001
  2.08000E-001	  3.88031E-001
  2.24000E-001	  3.66796E-001
  2.40000E-001	  3.48510E-001
  2.56000E-001	  3.29556E-001
  2.88000E-001	  2.93640E-001
  3.20000E-001	  2.63627E-001
  3.52000E-001	  2.35049E-001
  3.84000E-001	  2.10820E-001
  4.16000E-001	  1.90194E-001
  4.48000E-001	  1.71148E-001
  4.80000E-001	  1.52502E-001
  5.12000E-001	  1.37580E-001
  5.76000E-001	  1.10359E-001
  6.40000E-001	  8.88981E-002
  7.04000E-001	  7.23019E-002
  7.68000E-001	  5.83326E-002
  8.32000E-001	  4.68591E-002
  8.96000E-001	  3.67430E-002
  9.60000E-001	  2.95997E-002
  1.02400E+000	  2.47347E-002
  1.15200E+000	  1.61710E-002
  1.28000E+000	  1.05357E-002
  1.40800E+000	  3.51580E-003
  1.53600E+000	 -1.77599E-004
  1.66400E+000	 -4.48837E-003
  1.79200E+000	 -5.72865E-003
  1.92000E+000	 -5.52453E-003
  2.01600E+000	 -4.11544E-003
  2.27200E+000	 -1.96314E-003
  2.52800E+000	 -3.91344E-003
  2.78400E+000	 -1.72962E-003
  3.04000E+000	 -4.43110E-004
  3.29600E+000	  1.61911E-003
  3.55200E+000	  1.13424E-003
  3.80800E+000	 -2.12063E-003
  4.06400E+000	 -9.00575E-004
  4.57600E+000	 -1.61653E-004
  5.08800E+000	  3.08122E-003
  5.60000E+000	  1.66107E-003
  6.11200E+000	 -1.88113E-003
  6.62400E+000	  1.74768E-003
  7.13600E+000	  1.28294E-003
  7.64800E+000	  1.32712E-003
  8.16000E+000	  1.35867E-003
